Unique ID,Title,Source,Owner,Status,Categories,,,,,,,
1,Cumulus,http://en.wikipedia.org/wiki/Cumulus_cloud,Cassandra,To be revised,Types of Clouds,,,,,,,
2,Stratus ,http://en.wikipedia.org/wiki/Stratus_cloud,Cassandra,To be revised,Types of Clouds,,,,,,,
3,Cirrus,http://en.wikipedia.org/wiki/Cirrus_cloud,Cassandra,To be revised,Types of Clouds,,,,,,,
4,Precipitation ,http://en.wikipedia.org/wiki/Precipitation_(meteorology),Cassandra,To be revised,Weather Related,,,,,,,
5,Cirriform,,Cassandra,To be revised,Types of Clouds,,,,,,,
6,Cumuliform,,,To be revised,Types of Clouds,,,,,,,
7,cumulonimbiform,,Cassandra,To be revised,Types of Clouds,,,,,,,
8,stratiform,,Cassandra,To be revised,Types of Clouds,,,,,,,
9,stratocumuliform,,Cassandra,To be revised,Types of Clouds,,,,,,,
10,cross-classified,,Cassandra,To be revised,Types of Clouds,,,,,,,
11,High,,Cassandra,To be revised,Physical Categories of Clouds,,,,,,,
12,Middle,,Cassandra,To be revised,Physical Categories of Clouds,,,,,,,
13,Low,,Cassandra,To be revised,Physical Categories of Clouds,,,,,,,
14,Vertical,,Cassandra,To be revised,Physical Categories of Clouds,,,,,,,
15,Clouds and Weather Forecasting,,Cassandra,To be revised,Weather Related,,,,,,,
16,Coloration,,Cassandra,To be revised,Weather Related,,,,,,,
17,Effects on Climate,,Cassandra,To be revised,Weather Related,,,,,,,
18,Varieties,,Cassandra,To be revised,Weather Related,,,,,,,
19,Water Vapor,http://en.wikipedia.org/wiki/Water_vapor,Cassandra,To be revised,Physical Categories of Clouds,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
